date,gdp
2011-01-01,14881.3
2011-04-01,14989.6
2011-07-01,15021.1
2011-10-01,15190.3
2012-01-01,15291.0
2012-04-01,15362.4
2012-07-01,15380.8
2012-10-01,15384.3
2013-01-01,15491.9
2013-04-01,15521.6
2013-07-01,15641.3
2013-10-01,15793.9
2014-01-01,15747.0
2014-04-01,15900.8
2014-07-01,16094.5
2014-10-01,16186.7
2015-01-01,16269.0
2015-04-01,16374.2
2015-07-01,16454.9
2015-10-01,16490.7
2016-01-01,16525.0
2016-04-01,16583.1
2016-07-01,16727.0
2016-10-01,16804.8
